"filename", "language", "JSON", "JSON with Comments", "JavaScript", "Markdown", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\navigations\InfoNavigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 3, 26
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\navigations\JourneyNavigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 63, 0, 3, 66
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\navigations\MainNavigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 81, 2, 7, 90
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\navigations\ProfileNavigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 84, 0, 4, 88
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\navigations\SettingsNavigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 3, 23
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\navigations\WalletNavigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 40, 0, 3, 43
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\navigations\navigation.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Entry\ForgotPassword.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 163, 0, 5, 168
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Entry\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 163, 0, 11, 174
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Entry\MainInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 140, 0, 8, 148
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Entry\Register.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 160, 0, 5, 165
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Entry\auth\loginScreen.js", "JavaScript", 0, 0, 174, 0, 0, 0, 0, 14, 188
